ID,geneName,ORF,fullName,uniprot,GO,EC,KO,organism
28,XC_0028,XC_0028,Cellulase,A0A0H2X3R3,GO:0004553; GO:0005975,,K01179,Xanthomonas campestris pv. campestris (strain 8004)
29,XC_0029,XC_0029,Alcohol dehydrogenase,A0A0H2X270,GO:0016491; GO:0008270,,K13979,Xanthomonas campestris pv. campestris (strain 8004)
30,XC_0030,XC_0030,Uncharacterized protein,A0A0H2X2B8,,,,Xanthomonas campestris pv. campestris (strain 8004)
31,XC_0031,XC_0031,"Glutamate synthase, beta subunit",A0A0H2X3N0,GO:0051536; GO:0016639; GO:0006537,,K00266,Xanthomonas campestris pv. campestris (strain 8004)
32,XC_0032,XC_0032,"Glutamate synthase, alpha subunit",A0A0H2X2H8,GO:0015930; GO:0006537,,K00265,Xanthomonas campestris pv. campestris (strain 8004)
33,XC_0033,XC_0033,Uncharacterized protein,A0A0H2X3R7,,,,Xanthomonas campestris pv. campestris (strain 8004)
34,XC_0034,XC_0034,Uncharacterized protein,A0A0H2X274,GO:0003677; GO:0003917; GO:0006265,,,Xanthomonas campestris pv. campestris (strain 8004)
35,XC_0035,XC_0035,Phospholipid N-methyltransferase,A0A0H2X2C1,GO:0008168,,,Xanthomonas campestris pv. campestris (strain 8004)
36,XC_0036,XC_0036,Uncharacterized protein,A0A0H2X3N5,,,,Xanthomonas campestris pv. campestris (strain 8004)
37,XC_0037,XC_0037,Pirin,A0A0H2X2I4,,,,Xanthomonas campestris pv. campestris (strain 8004)
38,XC_0040,XC_0040,Transcriptional regulator lysR family,A0A0H2X3S0,GO:0003677; GO:0003700; GO:0006351,,,Xanthomonas campestris pv. campestris (strain 8004)
39,XC_0041,XC_0041,Uncharacterized protein,A0A0H2X277,,,,Xanthomonas campestris pv. campestris (strain 8004)
40,XC_0042,XC_0042,NonF-related protein,A0A0H2X2C5,,,,Xanthomonas campestris pv. campestris (strain 8004)
41,XC_0043,XC_0043,Transcriptional regulator,A0A0H2X3P0,GO:0003677; GO:0003700; GO:0006351,,,Xanthomonas campestris pv. campestris (strain 8004)
42,XC_0044,XC_0044,Transcriptional regulator,A0A0H2X2I9,GO:0003677,,,Xanthomonas campestris pv. campestris (strain 8004)
43,XC_0045,XC_0045,Methicillin resistance protein,A0A0H2X3S5,GO:0003677; GO:0045892,,,Xanthomonas campestris pv. campestris (strain 8004)
44,XC_0046,XC_0046,Ankyrin-like protein,A0A0H2X281,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
45,XC_0047,XC_0047,Uncharacterized protein,A0A0H2X2C7,,,,Xanthomonas campestris pv. campestris (strain 8004)
46,XC_0048,XC_0048,Uncharacterized protein,A0A0H2X3P5,GO:0016491,,,Xanthomonas campestris pv. campestris (strain 8004)
47,XC_0049,XC_0049,Uncharacterized protein,A0A0H2X2J6,,,,Xanthomonas campestris pv. campestris (strain 8004)
48,XC_0050,XC_0050,TonB-dependent receptor,A0A0H2X3S9,GO:0009279; GO:0004872; GO:0006810,,,Xanthomonas campestris pv. campestris (strain 8004)
49,XC_0051,XC_0051,Xylose repressor-like protein,A0A0H2X284,,,,Xanthomonas campestris pv. campestris (strain 8004)
50,XC_0052,XC_0052,Avirulence protein,A0A0H2X2D1,GO:0008889; GO:0006629,,,Xanthomonas campestris pv. campestris (strain 8004)
51,XC_0053,XC_0053,Uncharacterized protein,A0A0H2X3Q2,GO:0003676,,K07502,Xanthomonas campestris pv. campestris (strain 8004)
52,XC_0054,XC_0054,ATP-dependent RNA helicase,A0A0H2X2K0,GO:0005524; GO:0004386; GO:0003676,,K06877,Xanthomonas campestris pv. campestris (strain 8004)
53,XC_0055,XC_0055,Adenosine monophosphate-protein transferase,A0A0H2X3T3,GO:0005524; GO:0043910; GO:0043338; GO:0003896; GO:0033677; GO:0000287; GO:0008905; GO:0043814; GO:0070733; GO:0003724; GO:0004779; GO:0003720; GO:0008193; GO:0052630,2.7.7.n1,,Xanthomonas campestris pv. campestris (strain 8004)
54,XC_0056,XC_0056,Hemolysin III,A0A0H2X286,GO:0016021; GO:0019835,,K11068,Xanthomonas campestris pv. campestris (strain 8004)
55,XC_0057,XC_0057,Uncharacterized protein,A0A0H2X2D4,,,,Xanthomonas campestris pv. campestris (strain 8004)
56,XC_0058,XC_0058,Uncharacterized protein,A0A0H2X3Q9,,,,Xanthomonas campestris pv. campestris (strain 8004)
57,XC_0059,XC_0059,Uncharacterized protein,A0A0H2X2K4,,,,Xanthomonas campestris pv. campestris (strain 8004)
58,XC_0060,XC_0060,NAD(P)H oxidoreductase,A0A0H2X3T8,,,K00355,Xanthomonas campestris pv. campestris (strain 8004)
59,XC_0061,XC_0061,Uncharacterized protein,A0A0H2X290,,,,Xanthomonas campestris pv. campestris (strain 8004)
60,XC_0062,XC_0062,Uncharacterized protein,A0A0H2X2D8,,,,Xanthomonas campestris pv. campestris (strain 8004)
61,XC_0063,XC_0063,Regulatory protein cII,A0A0H2X3R4,,,,Xanthomonas campestris pv. campestris (strain 8004)
62,XC_0064,XC_0064,Uncharacterized protein,A0A0H2X2K9,,,,Xanthomonas campestris pv. campestris (strain 8004)
63,XC_0065,XC_0065,Uncharacterized protein,A0A0H2X3U1,,,,Xanthomonas campestris pv. campestris (strain 8004)
64,XC_0066,XC_0066,Uncharacterized protein,A0A0H2X294,,,,Xanthomonas campestris pv. campestris (strain 8004)
65,XC_0067,XC_0067,Uncharacterized protein,A0A0H2X2E0,,,,Xanthomonas campestris pv. campestris (strain 8004)
66,XC_0068,XC_0068,Uncharacterized protein,A0A0H2X3R8,,,,Xanthomonas campestris pv. campestris (strain 8004)
67,XC_0069,XC_0069,Uncharacterized protein,A0A0H2X2L3,,,,Xanthomonas campestris pv. campestris (strain 8004)
68,XC_0070,XC_0070,Uncharacterized protein,A0A0H2X3U5,GO:0008703; GO:0009231,,,Xanthomonas campestris pv. campestris (strain 8004)
69,XC_0071,XC_0071,Uncharacterized protein,A0A0H2X297,,,,Xanthomonas campestris pv. campestris (strain 8004)
70,XC_0072,XC_0072,Transcriptional regulator,A0A0H2X2E4,GO:0003677; GO:0006355; GO:0006351,,,Xanthomonas campestris pv. campestris (strain 8004)
71,XC_0073,XC_0073,Uncharacterized protein,A0A0H2X3S2,,,,Xanthomonas campestris pv. campestris (strain 8004)
72,XC_0074,XC_0074,Uncharacterized protein,A0A0H2X2L8,,,,Xanthomonas campestris pv. campestris (strain 8004)
73,XC_0075,XC_0075,Uncharacterized protein,A0A0H2X3U8,GO:0006950,,,Xanthomonas campestris pv. campestris (strain 8004)
74,XC_0076,XC_0076,Uncharacterized protein,A0A0H2X2A1,,,,Xanthomonas campestris pv. campestris (strain 8004)
75,XC_0077,XC_0077,Metalloprotease,A0A0H2X2E7,GO:0004222,,,Xanthomonas campestris pv. campestris (strain 8004)
76,XC_0078,XC_0078,Uncharacterized protein,A0A0H2X3S6,,,,Xanthomonas campestris pv. campestris (strain 8004)
77,XC_0079,XC_0079,MutT/nudix family protein,A0A0H2X2M2,GO:0016787,,,Xanthomonas campestris pv. campestris (strain 8004)
78,XC_0080,XC_0080,Uncharacterized protein,A0A0H2X3V0,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
79,XC_0081,XC_0081,Esterase,A0A0H2X2A5,GO:0016787; GO:0008152,,,Xanthomonas campestris pv. campestris (strain 8004)
80,XC_0082,XC_0082,AtsE protein,A0A0H2X2F0,,,,Xanthomonas campestris pv. campestris (strain 8004)
81,XC_0083,XC_0083,Thioredoxin,A0A0H2X3T1,GO:0005623; GO:0045454,,K03671,Xanthomonas campestris pv. campestris (strain 8004)
82,XC_0084,XC_0084,Proline/betaine transporter,A0A0H2X2M7,GO:0016021; GO:0005215; GO:0055085,,K03762,Xanthomonas campestris pv. campestris (strain 8004)
83,XC_0085,XC_0085,Uncharacterized protein,A0A0H2X3V4,GO:0006950,,,Xanthomonas campestris pv. campestris (strain 8004)
84,XC_0086,XC_0086,Uncharacterized protein,A0A0H2X2A9,,,,Xanthomonas campestris pv. campestris (strain 8004)
85,XC_0087,XC_0087,Uncharacterized protein,A0A0H2X2F3,,,,Xanthomonas campestris pv. campestris (strain 8004)
86,XC_0088,XC_0088,Uncharacterized protein,A0A0H2X3T4,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
87,XC_0089,XC_0089,Uncharacterized protein,A0A0H2X2N1,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
88,XC_0090,XC_0090,Uncharacterized protein,A0A0H2X3V6,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
89,XC_0091,XC_0091,Uncharacterized protein,A0A0H2X2B3,,,,Xanthomonas campestris pv. campestris (strain 8004)
90,XC_0092,XC_0092,Methanol dehydrogenase regulator,A0A0H2X2F6,GO:0005524; GO:0016887,,K03924,Xanthomonas campestris pv. campestris (strain 8004)
91,XC_0093,XC_0093,Uncharacterized protein,A0A0H2X3T9,,,,Xanthomonas campestris pv. campestris (strain 8004)
92,XC_0094,XC_0094,TldD protein,A0A0H2X2N7,GO:0008237,,,Xanthomonas campestris pv. campestris (strain 8004)
93,XC_0096,XC_0096,TldD protein,A0A0H2X3V8,GO:0016021; GO:0008237,,K03568,Xanthomonas campestris pv. campestris (strain 8004)
94,XC_0097,XC_0097,TldD protein,A0A0H2X2B6,GO:0008237,,,Xanthomonas campestris pv. campestris (strain 8004)
95,fbp,XC_0098,"Fructose-1,6-bisphosphatase class 1",Q4V0I4,GO:0005737; GO:0042132; GO:0000287; GO:0006001; GO:0006094,3.1.3.11,K03841,Xanthomonas campestris pv. campestris (strain 8004)
96,XC_0099,XC_0099,Uncharacterized protein,A0A0H2X2F9,,,,Xanthomonas campestris pv. campestris (strain 8004)
97,XC_0100,XC_0100,Aminotransferase,A0A0H2X3U4,GO:0030170; GO:0008483; GO:0009058; GO:0006520,2.6.1.-,K00832,Xanthomonas campestris pv. campestris (strain 8004)
98,XC_0101,XC_0101,Iron transporter,A0A0H2X2P4,GO:0009279; GO:0004872; GO:0006810,,K02014,Xanthomonas campestris pv. campestris (strain 8004)
99,XC_0102,XC_0102,Uncharacterized protein,A0A0H2X3W1,,,,Xanthomonas campestris pv. campestris (strain 8004)
100,XC_0103,XC_0103,Uncharacterized protein,A0A0H2X2C0,,,,Xanthomonas campestris pv. campestris (strain 8004)
101,XC_0104,XC_0104,Chloroacetaldehyde dehydrogenase,A0A0H2X2G0,GO:0016620,,K00138,Xanthomonas campestris pv. campestris (strain 8004)
102,XC_0105,XC_0105,Uncharacterized protein,A0A0H2X3V1,,,K09959,Xanthomonas campestris pv. campestris (strain 8004)
103,XC_0106,XC_0106,Uncharacterized protein,A0A0H2X2P9,,,,Xanthomonas campestris pv. campestris (strain 8004)
104,XC_0107,XC_0107,Uncharacterized protein,A0A0H2X3W3,,,,Xanthomonas campestris pv. campestris (strain 8004)
105,ku,XC_0108,Non-homologous end joining protein Ku,A0A0H2X2C3,GO:0003690; GO:0006310; GO:0006303,,K10979,Xanthomonas campestris pv. campestris (strain 8004)
106,XC_0109,XC_0109,ATP-dependent DNA ligase,A0A0H2X2G3,GO:0005524; GO:0003910; GO:0006310; GO:0006281,,K01971,Xanthomonas campestris pv. campestris (strain 8004)
107,lldD,XC_0110,L-lactate dehydrogenase,Q4V0H2,GO:0005886; GO:0010181; GO:0004457; GO:0019516,1.1.-.-,K00101,Xanthomonas campestris pv. campestris (strain 8004)
108,XC_0111,XC_0111,Uncharacterized protein,A0A0H2X3V7,,,,Xanthomonas campestris pv. campestris (strain 8004)
109,XC_0112,XC_0112,Uncharacterized protein,A0A0H2X2Q7,GO:0016021,,K00587,Xanthomonas campestris pv. campestris (strain 8004)
110,XC_0113,XC_0113,Two-component system sensor protein,A0A0H2X3W6,GO:0016021; GO:0005622; GO:0000155,,,Xanthomonas campestris pv. campestris (strain 8004)
111,XC_0114,XC_0114,Two-component system regulatory protein,A0A0H2X2C6,GO:0005622; GO:0003677; GO:0000160; GO:0006355; GO:0006351,,,Xanthomonas campestris pv. campestris (strain 8004)
112,XC_0115,XC_0115,Uncharacterized protein,A0A0H2X2G7,,,,Xanthomonas campestris pv. campestris (strain 8004)
113,XC_0116,XC_0116,Uncharacterized protein,A0A0H2X3W4,,,,Xanthomonas campestris pv. campestris (strain 8004)
114,XC_0117,XC_0117,Uncharacterized protein,A0A0H2X2R3,,,,Xanthomonas campestris pv. campestris (strain 8004)
115,XC_0118,XC_0118,Transcriptional regulator,A0A0H2X3W8,GO:0005622; GO:0003677; GO:0000160; GO:0006355; GO:0006351,,K12132,Xanthomonas campestris pv. campestris (strain 8004)
116,fabV,XC_0119,Enoyl-[acyl-carrier-protein] reductase [NADH],Q4V0G3,GO:0004318; GO:0051287; GO:0006633,1.3.1.9,K00209,Xanthomonas campestris pv. campestris (strain 8004)
117,XC_0120,XC_0120,Uncharacterized protein,A0A0H2X2D0,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
118,XC_0121,XC_0121,Uncharacterized protein,A0A0H2X2H1,,,,Xanthomonas campestris pv. campestris (strain 8004)
119,XC_0122,XC_0122,2-keto-3-deoxygluconate kinase,A0A0H2X3X1,GO:0016301,,K00874,Xanthomonas campestris pv. campestris (strain 8004)
120,XC_0123,XC_0123,TonB-dependent receptor,A0A0H2X2R8,GO:0009279; GO:0016021; GO:0004872; GO:0006810,,,Xanthomonas campestris pv. campestris (strain 8004)
121,XC_0124,XC_0124,TonB-dependent receptor,A0A0H2X3X0,GO:0009279; GO:0004872; GO:0006810,,,Xanthomonas campestris pv. campestris (strain 8004)
122,XC_0125,XC_0125,Pectinesterase,A0A0H2X2D3,GO:0005618; GO:0045330; GO:0030599; GO:0042545; GO:0045490,3.1.1.11,K01051,Xanthomonas campestris pv. campestris (strain 8004)
123,XC_0126,XC_0126,Pectate lyase E,A0A0H2X2H6,GO:0016829,,,Xanthomonas campestris pv. campestris (strain 8004)
124,XC_0127,XC_0127,Uncharacterized protein,A0A0H2X3X7,,,,Xanthomonas campestris pv. campestris (strain 8004)
125,XC_0128,XC_0128,Uncharacterized protein,A0A0H2X2S5,,,,Xanthomonas campestris pv. campestris (strain 8004)
126,XC_0129,XC_0129,Uncharacterized protein,A0A0H2X3X4,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
127,XC_0130,XC_0130,Uncharacterized protein,A0A0H2X2D6,,,,Xanthomonas campestris pv. campestris (strain 8004)
128,XC_0131,XC_0131,Uncharacterized protein,A0A0H2X2I1,GO:0007165,,,Xanthomonas campestris pv. campestris (strain 8004)
129,XC_0132,XC_0132,Deoxycytidylate deaminase,A0A0H2X3Y5,GO:0004132; GO:0008270; GO:0006220,,K01493,Xanthomonas campestris pv. campestris (strain 8004)
130,XC_0136,XC_0136,RhsD protein,A0A0H2X3X6,GO:0097264,,,Xanthomonas campestris pv. campestris (strain 8004)
131,XC_0139,XC_0139,Uncharacterized protein,A0A0H2X2I6,,,,Xanthomonas campestris pv. campestris (strain 8004)
132,XC_0140,XC_0140,Uncharacterized protein,A0A0H2X3Y9,,,,Xanthomonas campestris pv. campestris (strain 8004)
133,glgE,XC_0141,"Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase",A0A0H2X2T5,GO:0004553; GO:0016758; GO:0030979,2.4.99.16,K16147,Xanthomonas campestris pv. campestris (strain 8004)
134,XC_0142,XC_0142,Trehalose synthase,A0A0H2X3Y0,GO:0003824; GO:0005975,,K05343,Xanthomonas campestris pv. campestris (strain 8004)
135,glgB1,XC_0143,"1,4-alpha-glucan branching enzyme GlgB 1",Q4V0E2,GO:0003844; GO:0043169; GO:0004553; GO:0005978,2.4.1.18,K00700,Xanthomonas campestris pv. campestris (strain 8004)
136,XC_0144,XC_0144,IS1480 transposase,A0A0H2X2E3,GO:0003677; GO:0004803; GO:0006313,,,Xanthomonas campestris pv. campestris (strain 8004)
137,XC_0146,XC_0146,Uncharacterized protein,A0A0H2X2J3,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
138,XC_0147,XC_0147,Uncharacterized protein,A0A0H2X3Z5,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
139,XC_0148,XC_0148,Uncharacterized protein,A0A0H2X2U2,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
140,XC_0149,XC_0149,Phosphoesterase,A0A0H2X3Y2,GO:0016787; GO:0046872,3.1.4.-,K07095,Xanthomonas campestris pv. campestris (strain 8004)
141,XC_0150,XC_0150,L-fucose dehydrogenase,A0A0H2X2E6,,,K00064,Xanthomonas campestris pv. campestris (strain 8004)
142,XC_0151,XC_0151,Uncharacterized protein,A0A0H2X2M1,,,,Xanthomonas campestris pv. campestris (strain 8004)
143,XC_0152,XC_0152,Carboxylic ester hydrolase,A0A0H2X419,GO:0016787,3.1.1.-,K03929,Xanthomonas campestris pv. campestris (strain 8004)
144,XC_0153,XC_0153,Xylanase,A0A0H2X2X4,GO:0016798; GO:0045493,,,Xanthomonas campestris pv. campestris (strain 8004)
145,XC_0154,XC_0154,2-keto-4-pentenoate hydratase,A0A0H2X401,GO:0003824; GO:0008152,,K02554,Xanthomonas campestris pv. campestris (strain 8004)
146,XC_0155,XC_0155,C4-dicarboxylate transport system,A0A0H2X2G6,GO:0030288; GO:0006810,,,Xanthomonas campestris pv. campestris (strain 8004)
147,XC_0156,XC_0156,C4-dicarboxylate membrane transport protein,A0A0H2X2M5,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
148,XC_0157,XC_0157,C4-dicarboxylate transport protein,A0A0H2X423,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
149,XC_0158,XC_0158,Xylosidase/arabinosidase,A0A0H2X2Y0,GO:0004553; GO:0005975,,,Xanthomonas campestris pv. campestris (strain 8004)
150,XC_0159,XC_0159,Transcriptional regulator lacI family,A0A0H2X404,GO:0003677; GO:0006355; GO:0006351,,K02529,Xanthomonas campestris pv. campestris (strain 8004)
151,kduI,XC_0160,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase,Q4V0C6,GO:0008697; GO:0008270; GO:0045490,5.3.1.17,K01815,Xanthomonas campestris pv. campestris (strain 8004)
152,XC_0161,XC_0161,2-deoxy-D-gluconate 3-dehydrogenase,A0A0H2X2H0,GO:0008678; GO:0051287,,K00065,Xanthomonas campestris pv. campestris (strain 8004)
153,XC_0162,XC_0162,Sugar-phosphate isomerase,A0A0H2X2N0,GO:0016853; GO:0005975,,K01808,Xanthomonas campestris pv. campestris (strain 8004)
154,XC_0163,XC_0163,Rhamnogalacturonan acetylesterase,A0A0H2X427,,,,Xanthomonas campestris pv. campestris (strain 8004)
155,XC_0164,XC_0164,Uncharacterized protein,A0A0H2X2Y5,,,,Xanthomonas campestris pv. campestris (strain 8004)
156,XC_0165,XC_0165,Phenylalanine hydroxylase,A0A0H2X408,GO:0005506; GO:0004505; GO:0009072; GO:0006559,,K00500,Xanthomonas campestris pv. campestris (strain 8004)
157,XC_0166,XC_0166,Transcriptional regulator asnC family,A0A0H2X2H5,GO:0005622; GO:0043565; GO:0003700; GO:0006351,,K03719,Xanthomonas campestris pv. campestris (strain 8004)
158,XC_0167,XC_0167,Ferripyoverdine receptor,A0A0H2X2N5,GO:0009279; GO:0005506; GO:0004872; GO:0015891,,K16088,Xanthomonas campestris pv. campestris (strain 8004)
159,XC_0168,XC_0168,Uncharacterized protein,A0A0H2X431,GO:0006629,,K07001,Xanthomonas campestris pv. campestris (strain 8004)
160,XC_0169,XC_0169,Uncharacterized protein,A0A0H2X2Y9,,,,Xanthomonas campestris pv. campestris (strain 8004)
161,XC_0170,XC_0170,ABC transporter ATP-binding protein,A0A0H2X410,GO:0005524; GO:0016887,,K02013,Xanthomonas campestris pv. campestris (strain 8004)
162,XC_0171,XC_0171,Fatty acid desaturase,A0A0H2X2H9,GO:0016717; GO:0006629,,K00507,Xanthomonas campestris pv. campestris (strain 8004)
163,XC_0172,XC_0172,Uncharacterized protein,A0A0H2X2P1,GO:0005509,,,Xanthomonas campestris pv. campestris (strain 8004)
164,XC_0173,XC_0173,ABC transporter ATP-binding protein,A0A0H2X436,GO:0005524; GO:0016887,,K05847,Xanthomonas campestris pv. campestris (strain 8004)
165,XC_0174,XC_0174,ABC transporter amino acid permease,A0A0H2X2Z4,GO:0016021; GO:0005886; GO:0005215,,K05845; K05846,Xanthomonas campestris pv. campestris (strain 8004)
166,XC_0175,XC_0175,Uncharacterized protein,A0A0H2X414,GO:0003824,,,Xanthomonas campestris pv. campestris (strain 8004)
167,XC_0176,XC_0176,Uncharacterized protein,A0A0H2X2I3,GO:0052699,,,Xanthomonas campestris pv. campestris (strain 8004)
168,XC_0177,XC_0177,Uncharacterized protein,A0A0H2X2P8,,,,Xanthomonas campestris pv. campestris (strain 8004)
169,XC_0178,XC_0178,Uncharacterized protein,A0A0H2X442,,,,Xanthomonas campestris pv. campestris (strain 8004)
170,XC_0179,XC_0179,Indolepyruvate ferredoxin oxidoreductase chain alpha,A0A0H2X2Z7,GO:0016903,,K04090,Xanthomonas campestris pv. campestris (strain 8004)
171,XC_0180,XC_0180,Uncharacterized protein,A0A0H2X418,,,,Xanthomonas campestris pv. campestris (strain 8004)
172,XC_0181,XC_0181,Uncharacterized protein,A0A0H2X2I8,GO:0016021; GO:0055085,,K07088,Xanthomonas campestris pv. campestris (strain 8004)
173,XC_0182,XC_0182,Uncharacterized protein,A0A0H2X2Q2,,,,Xanthomonas campestris pv. campestris (strain 8004)
174,XC_0183,XC_0183,Partition protein,A0A0H2X447,,,K03496,Xanthomonas campestris pv. campestris (strain 8004)
175,XC_0184,XC_0184,Uncharacterized protein,A0A0H2X302,,,,Xanthomonas campestris pv. campestris (strain 8004)
176,XC_0185,XC_0185,Uncharacterized protein,A0A0H2X422,,,,Xanthomonas campestris pv. campestris (strain 8004)
177,XC_0186,XC_0186,Cardiolipin synthase,A0A0H2X2J1,GO:0003824,,,Xanthomonas campestris pv. campestris (strain 8004)
178,XC_0187,XC_0187,Uncharacterized protein,A0A0H2X2Q8,,,,Xanthomonas campestris pv. campestris (strain 8004)
179,XC_0188,XC_0188,Acetyltransferase,A0A0H2X454,GO:0016021; GO:0016746; GO:0008152,,K00655,Xanthomonas campestris pv. campestris (strain 8004)
180,XC_0189,XC_0189,Uncharacterized protein,A0A0H2X305,,,K07019,Xanthomonas campestris pv. campestris (strain 8004)
181,XC_0190,XC_0190,Uncharacterized protein,A0A0H2X426,,,,Xanthomonas campestris pv. campestris (strain 8004)
182,XC_0191,XC_0191,Uncharacterized protein,A0A0H2X2J5,,,K06910,Xanthomonas campestris pv. campestris (strain 8004)
183,XC_0192,XC_0192,Uncharacterized protein,A0A0H2X2R4,,,,Xanthomonas campestris pv. campestris (strain 8004)
184,uppP,XC_0193,Undecaprenyl-diphosphatase,Q4V093,GO:0016021; GO:0005886; GO:0050380; GO:0071555; GO:0016311; GO:0009252; GO:0008360; GO:0046677,3.6.1.27,K06153,Xanthomonas campestris pv. campestris (strain 8004)
185,XC_0194,XC_0194,Glutamine synthetase,A0A0H2X461,GO:0005737; GO:0005524; GO:0004356; GO:0006542; GO:0009399,6.3.1.2,K01915,Xanthomonas campestris pv. campestris (strain 8004)
186,XC_0195,XC_0195,Nitrogen regulatory protein P-II,A0A0H2X308,GO:0030234; GO:0006808; GO:0006355; GO:0006351,,K04751,Xanthomonas campestris pv. campestris (strain 8004)
