NodeType,ID,color
21,XC_0072 70..78,#42593E
19,XC_0073 101..109,#9A5F2B
8,XC_0074 204..216,#A89479
13,XC_0075 228..236,#A6AF6F
21,XC_0076 46..54,#42593E
19,XC_0076 77..85,#9A5F2B
10,XC_0078 118..130,#D45386
22,XC_0079 140..152,#3A3E3E
9,XC_0080 242..250,#C15A92
19,XC_0080 75..83,#9A5F2B
23,XC_0080 92..100,#482D42
7,XC_0082 115..125,#93CB5D
22,XC_0082 119..127,#3A3E3E
3,XC_0083 123..133,#8749CE
3,XC_0084 186..194,#8749CE
22,XC_0085 237..245,#3A3E3E
25,XC_0085 28..36,#96677C
10,XC_0086 38..46,#D45386
21,XC_0087 127..137,#42593E
21,XC_0087 18..26,#42593E
23,XC_0087 96..106,#482D42
3,XC_0088 145..153,#8749CE
3,XC_0088 219..229,#8749CE
22,XC_0088 33..41,#3A3E3E
12,XC_0090 135..149,#CCA64E
3,XC_0092 123..131,#8749CE
23,XC_0092 210..220,#482D42
20,XC_0093 240..248,#666637
3,XC_0093 27..37,#8749CE
19,XC_0100 142..150,#9A5F2B
22,XC_0102 30..38,#3A3E3E
17,XC_0102 8..18,#B5545B
24,XC_0103 108..116,#693C57
9,XC_0103 70..78,#C15A92
16,XC_0105 20..34,#8E6299
10,XC_0106 11..19,#D45386
2,XC_0107 173..181,#847BC8
18,XC_0109 218..232,#BD5430
20,XC_0109 225..233,#666637
16,XC_0109 42..50,#8E6299
24,XC_0111 111..119,#693C57
20,XC_0111 116..126,#666637
23,XC_0111 13..21,#482D42
3,XC_0112 138..148,#8749CE
12,XC_0112 162..172,#CCA64E
1,XC_0114 144..152,#80C8B4
21,XC_0114 203..211,#42593E
10,XC_0115 133..145,#D45386
22,XC_0116 200..212,#3A3E3E
22,XC_0117 13..21,#3A3E3E
19,XC_0117 239..247,#9A5F2B
23,XC_0118 101..109,#482D42
15,XC_0118 177..189,#717CBD
24,XC_0120 163..171,#693C57
2,XC_0120 62..72,#847BC8
11,XC_0120 66..82,#DA7B61
15,XC_0121 132..142,#717CBD
8,XC_0122 57..65,#A89479
10,XC_0123 151..159,#D45386
2,XC_0123 239..249,#847BC8
4,XC_0124 1..9,#874DBB
14,XC_0126 145..153,#7E9AA5
21,XC_0126 161..169,#42593E
7,XC_0126 4..12,#93CB5D
23,XC_0127 10..18,#482D42
6,XC_0127 210..218,#87C564
21,XC_0127 60..68,#42593E
13,XC_0128 73..81,#A6AF6F
9,XC_0129 224..232,#C15A92
11,XC_0131 175..183,#DA7B61
11,XC_0132 118..126,#DA7B61
2,XC_0132 131..139,#847BC8
2,XC_0132 131..141,#847BC8
2,XC_0132 131..143,#847BC8
2,XC_0132 132..144,#847BC8
2,XC_0132 134..144,#847BC8
2,XC_0132 136..144,#847BC8
5,XC_0132 151..159,#85888E
15,XC_0132 175..183,#717CBD
20,XC_0132 180..188,#666637
15,XC_0132 24..34,#717CBD
19,XC_0133 126..136,#9A5F2B
20,XC_0139 10..18,#666637
4,XC_0143 139..149,#874DBB
6,XC_0143 238..246,#87C564
5,XC_0144 234..242,#85888E
22,XC_0146 58..66,#3A3E3E
13,XC_0147 168..176,#A6AF6F
10,XC_0147 6..14,#D45386
15,XC_0148 134..144,#717CBD
7,XC_0148 62..72,#93CB5D
4,XC_0149 196..206,#874DBB
21,XC_0150 186..194,#42593E
23,XC_0150 190..202,#482D42
23,XC_0150 46..54,#482D42
23,XC_0152 114..126,#482D42
22,XC_0152 136..144,#3A3E3E
22,XC_0152 199..211,#3A3E3E
21,XC_0152 99..107,#42593E
9,XC_0153 34..42,#C15A92
11,XC_0153 63..71,#DA7B61
21,XC_0154 1..13,#42593E
6,XC_0154 225..233,#87C564
15,XC_0155 172..182,#717CBD
18,XC_0156 45..63,#BD5430
22,XC_0156 50..58,#3A3E3E
6,XC_0157 147..155,#87C564
3,XC_0157 15..27,#8749CE
21,XC_0158 189..199,#42593E
7,XC_0158 207..215,#93CB5D
8,XC_0158 221..229,#A89479
20,XC_0159 142..152,#666637
3,XC_0159 221..229,#8749CE
2,XC_0160 110..118,#847BC8
19,XC_0160 117..125,#9A5F2B
2,XC_0160 203..215,#847BC8
16,XC_0162 217..225,#8E6299
11,XC_0163 96..104,#DA7B61
20,XC_0166 102..110,#666637
20,XC_0166 107..115,#666637
16,XC_0166 45..53,#8E6299
21,XC_0167 231..239,#42593E
21,XC_0169 15..23,#42593E
19,XC_0169 36..44,#9A5F2B
19,XC_0172 145..155,#9A5F2B
14,XC_0172 149..157,#7E9AA5
24,XC_0172 228..236,#693C57
23,XC_0172 29..37,#482D42
23,XC_0173 103..111,#482D42
20,XC_0173 226..234,#666637
21,XC_0173 89..99,#42593E
17,XC_0174 102..112,#B5545B
7,XC_0174 190..200,#93CB5D
12,XC_0174 77..85,#CCA64E
23,XC_0175 152..160,#482D42
19,XC_0177 105..113,#9A5F2B
15,XC_0178 136..146,#717CBD
21,XC_0178 159..167,#42593E
18,XC_0179 109..127,#BD5430
19,XC_0179 114..122,#9A5F2B
2,XC_0180 216..224,#847BC8
2,XC_0180 76..94,#847BC8
9,XC_0180 81..89,#C15A92
2,XC_0181 159..167,#847BC8
10,XC_0182 126..134,#D45386
9,XC_0182 154..162,#C15A92
20,XC_0182 87..95,#666637
3,XC_0183 164..172,#8749CE
24,XC_0183 56..64,#693C57
12,XC_0188 108..120,#CCA64E
25,XC_0188 219..229,#96677C
21,XC_0188 70..78,#42593E
1,XC_0189 187..199,#80C8B4
22,XC_0190 243..251,#3A3E3E
7,XC_0190 4..12,#93CB5D
12,XC_0190 61..69,#CCA64E
16,XC_0191 152..160,#8E6299
21,XC_0192 126..134,#42593E
7,XC_0192 148..156,#93CB5D
7,XC_0192 160..170,#93CB5D
22,XC_0192 231..239,#3A3E3E
2,XC_0192 52..60,#847BC8
2,XC_0192 55..65,#847BC8
12,XC_0195 132..140,#CCA64E
7,XC_0195 222..230,#93CB5D
3,XC_0195 44..54,#8749CE
24,XC_0196 25..33,#693C57
21,XC_0196 30..38,#42593E
20,XC_0196 60..70,#666637
8,XC_0197 123..131,#A89479
15,XC_0197 188..196,#717CBD
22,XC_0197 57..65,#3A3E3E
4,XC_0198 157..165,#874DBB
10,XC_0198 43..51,#D45386
7,XC_0200 211..221,#93CB5D
16,XC_0201 112..124,#8E6299
8,XC_0201 193..201,#A89479
17,XC_0201 215..225,#B5545B
2,XC_0201 88..96,#847BC8
9,XC_0203 239..247,#C15A92
23,XC_0203 45..53,#482D42
12,XC_0204 169..177,#CCA64E
19,XC_0204 188..196,#9A5F2B
15,XC_0205 12..20,#717CBD
16,XC_0205 24..36,#8E6299
10,XC_0205 95..103,#D45386
17,XC_0206 124..138,#B5545B
7,XC_0207 106..116,#93CB5D
22,XC_0207 130..138,#3A3E3E
17,XC_0208 186..194,#B5545B
8,XC_0208 229..237,#A89479
2,XC_0208 46..56,#847BC8
4,XC_0208 64..72,#874DBB
15,XC_0209 124..132,#717CBD
24,XC_0209 81..89,#693C57
10,XC_0211 171..183,#D45386
2,XC_0211 218..226,#847BC8
14,XC_0211 230..238,#7E9AA5
20,XC_0211 65..73,#666637
21,XC_0211 79..87,#42593E
15,XC_0212 201..209,#717CBD
21,XC_0213 155..163,#42593E
9,XC_0213 215..223,#C15A92
7,XC_0214 215..223,#93CB5D
21,XC_0214 217..225,#42593E
10,XC_0217 160..168,#D45386
25,XC_0217 231..239,#96677C
2,XC_0218 191..199,#847BC8
15,XC_0218 211..219,#717CBD
1,XC_0218 83..91,#80C8B4
24,XC_0219 100..108,#693C57
9,XC_0219 169..177,#C15A92
7,XC_0219 199..207,#93CB5D
22,XC_0219 214..224,#3A3E3E
20,XC_0219 228..236,#666637
4,XC_0219 70..80,#874DBB
22,XC_0220 50..58,#3A3E3E
10,XC_0221 52..60,#D45386
23,XC_0224 131..139,#482D42
15,XC_0225 137..145,#717CBD
3,XC_0225 30..40,#8749CE
2,XC_0226 97..105,#847BC8
20,XC_0227 80..90,#666637
19,XC_0228 211..225,#9A5F2B
3,XC_0228 76..86,#8749CE
19,XC_0229 118..126,#9A5F2B
8,XC_0230 61..69,#A89479
21,XC_0232 139..149,#42593E
7,XC_0233 196..206,#93CB5D
12,XC_0234 137..145,#CCA64E
10,XC_0237 123..131,#D45386
13,XC_0237 18..26,#A6AF6F
21,XC_0238 140..148,#42593E
4,XC_0238 68..76,#874DBB
12,XC_0239 193..203,#CCA64E
24,XC_0239 205..215,#693C57
16,XC_0240 243..251,#8E6299
1,XC_0241 130..138,#80C8B4
4,XC_0241 243..251,#874DBB
24,XC_0242 46..54,#693C57
8,XC_0242 84..92,#A89479
4,XC_0243 108..116,#874DBB
17,XC_0243 127..139,#B5545B
2,XC_0243 152..160,#847BC8
6,XC_0243 32..40,#87C564
24,XC_0243 98..106,#693C57
21,XC_0244 142..150,#42593E
21,XC_0244 210..218,#42593E
16,XC_0246 158..166,#8E6299
20,XC_0246 91..101,#666637
2,XC_0247 216..224,#847BC8
2,XC_0249 97..105,#847BC8
3,XC_0250 227..235,#8749CE
19,XC_0250 236..244,#9A5F2B
23,XC_0252 87..99,#482D42
11,XC_0254 184..192,#DA7B61
25,XC_0254 194..202,#96677C
17,XC_0255 108..118,#B5545B
7,XC_0255 13..21,#93CB5D
23,XC_0255 19..29,#482D42
4,XC_0255 82..90,#874DBB
10,XC_0257 28..38,#D45386
21,XC_0258 10..20,#42593E
10,XC_0258 164..174,#D45386
21,XC_0258 180..190,#42593E
24,XC_0258 81..89,#693C57
23,XC_0260 220..230,#482D42
3,XC_0261 198..210,#8749CE
15,XC_0262 241..249,#717CBD
13,XC_0262 64..74,#A6AF6F
23,XC_0265 134..144,#482D42
3,XC_0267 61..69,#8749CE
22,XC_0267 96..104,#3A3E3E
21,XC_0268 164..172,#42593E
22,XC_0269 203..215,#3A3E3E
7,XC_0269 210..220,#93CB5D
21,XC_0270 222..232,#42593E
10,XC_0270 227..239,#D45386
4,XC_0271 156..164,#874DBB
21,XC_0271 228..236,#42593E
9,XC_0272 119..127,#C15A92
17,XC_0272 133..143,#B5545B
15,XC_0272 194..202,#717CBD
7,XC_0274 20..28,#93CB5D
9,XC_0274 65..73,#C15A92
2,XC_0276 107..119,#847BC8
10,XC_0276 170..178,#D45386
7,XC_0276 52..60,#93CB5D
21,XC_0277 137..149,#42593E
22,XC_0277 172..184,#3A3E3E
11,XC_0277 203..211,#DA7B61
2,XC_0277 70..78,#847BC8
19,XC_0279 240..248,#9A5F2B
13,XC_0280 44..54,#A6AF6F
23,XC_0281 108..118,#482D42
25,XC_0281 64..72,#96677C
24,XC_0282 159..169,#693C57
2,XC_0282 205..213,#847BC8
15,XC_0283 220..228,#717CBD
23,XC_0284 101..111,#482D42
6,XC_0284 145..163,#87C564
6,XC_0284 150..158,#87C564
19,XC_0284 164..172,#9A5F2B
6,XC_0284 235..243,#87C564
9,XC_0285 151..159,#C15A92
12,XC_0286 198..208,#CCA64E
9,XC_0286 47..55,#C15A92
25,XC_0287 74..82,#96677C
3,XC_0288 129..137,#8749CE
25,XC_0289 102..110,#96677C
16,XC_0289 172..184,#8E6299
21,XC_0289 22..30,#42593E
22,XC_0289 4..12,#3A3E3E
15,XC_0290 104..114,#717CBD
8,XC_0291 206..214,#A89479
9,XC_0291 66..74,#C15A92
8,XC_0294 160..168,#A89479
4,XC_0294 91..101,#874DBB
10,XC_0295 22..30,#D45386
3,XC_0295 89..99,#8749CE
9,XC_0296 108..116,#C15A92
24,XC_0297 123..133,#693C57
4,XC_0297 135..147,#874DBB
23,XC_0298 115..123,#482D42
24,XC_0298 92..100,#693C57
10,XC_0298 96..104,#D45386
23,XC_0299 201..211,#482D42
16,XC_0302 171..181,#8E6299
8,XC_0303 211..219,#A89479
2,XC_0304 232..240,#847BC8
21,XC_0304 3..11,#42593E
2,XC_0304 30..38,#847BC8
7,XC_0305 229..237,#93CB5D
16,XC_0305 75..83,#8E6299
21,XC_0306 106..114,#42593E
2,XC_0306 17..25,#847BC8
12,XC_0308 135..143,#CCA64E
19,XC_0308 87..99,#9A5F2B
23,XC_0309 232..240,#482D42
1,XC_0310 26..34,#80C8B4
2,XC_0310 44..54,#847BC8
10,XC_0312 109..117,#D45386
10,XC_0312 112..120,#D45386
4,XC_0312 191..199,#874DBB
10,XC_0313 169..179,#D45386
17,XC_0313 195..205,#B5545B
7,XC_0313 51..61,#93CB5D
21,XC_0314 210..218,#42593E
17,XC_0316 105..117,#B5545B
23,XC_0316 196..206,#482D42
8,XC_0316 81..89,#A89479
21,XC_0318 124..132,#42593E
4,XC_0318 151..159,#874DBB
22,XC_0320 108..120,#3A3E3E
17,XC_0320 168..180,#B5545B
23,XC_0321 13..23,#482D42
12,XC_0321 236..246,#CCA64E
20,XC_0321 49..59,#666637
21,XC_0322 193..201,#42593E
20,XC_0322 197..205,#666637
15,XC_0322 77..87,#717CBD
17,XC_0324 122..134,#B5545B
21,XC_0324 41..51,#42593E
19,XC_0325 186..194,#9A5F2B
24,XC_0325 46..56,#693C57
6,XC_0327 201..209,#87C564
6,XC_0327 206..214,#87C564
4,XC_0327 32..40,#874DBB
11,XC_0328 179..187,#DA7B61
25,XC_0328 184..192,#96677C
10,XC_0331 102..110,#D45386
2,XC_0331 8..16,#847BC8
22,XC_0332 218..226,#3A3E3E
25,XC_0332 228..238,#96677C
21,XC_0332 7..15,#42593E
20,XC_0333 82..92,#666637
10,XC_0333 86..94,#D45386
21,XC_0334 17..25,#42593E
2,XC_0334 95..103,#847BC8
4,XC_0335 110..118,#874DBB
19,XC_0335 137..145,#9A5F2B
3,XC_0336 174..182,#8749CE
23,XC_0337 218..228,#482D42
10,XC_0338 40..48,#D45386
2,XC_0338 81..89,#847BC8
19,XC_0339 54..64,#9A5F2B
21,XC_0339 84..96,#42593E
25,XC_0341 190..198,#96677C
16,XC_0341 42..52,#8E6299
15,XC_0341 53..61,#717CBD
11,XC_0341 68..76,#DA7B61
14,XC_0342 102..110,#7E9AA5
15,XC_0342 194..204,#717CBD
2,XC_0343 108..124,#847BC8
10,XC_0343 153..161,#D45386
20,XC_0343 155..165,#666637
14,XC_0343 47..55,#7E9AA5
8,XC_0344 132..140,#A89479
12,XC_0344 164..172,#CCA64E
11,XC_0344 88..96,#DA7B61
25,XC_0345 157..165,#96677C
3,XC_0345 205..213,#8749CE
16,XC_0346 172..182,#8E6299
11,XC_0346 198..206,#DA7B61
11,XC_0347 186..194,#DA7B61
19,XC_0348 105..113,#9A5F2B
3,XC_0348 183..195,#8749CE
24,XC_0348 50..58,#693C57
19,XC_0348 85..93,#9A5F2B
6,XC_0349 180..188,#87C564
3,XC_0349 205..213,#8749CE
6,XC_0349 21..29,#87C564
15,XC_0350 202..210,#717CBD
20,XC_0350 207..215,#666637
11,XC_0350 217..225,#DA7B61
25,XC_0351 148..156,#96677C
19,XC_0351 187..195,#9A5F2B
11,XC_0351 212..220,#DA7B61
3,XC_0351 44..54,#8749CE
6,XC_0352 169..177,#87C564
3,XC_0352 194..202,#8749CE
2,XC_0352 233..241,#847BC8
23,XC_0353 104..112,#482D42
3,XC_0353 205..213,#8749CE
14,XC_0353 8..16,#7E9AA5
24,XC_0354 100..108,#693C57
25,XC_0354 144..152,#96677C
14,XC_0354 157..165,#7E9AA5
1,XC_0355 108..116,#80C8B4
2,XC_0355 121..129,#847BC8
8,XC_0355 165..173,#A89479
6,XC_0355 21..29,#87C564
11,XC_0357 218..230,#DA7B61
4,XC_0358 96..104,#874DBB
1,XC_0358 99..107,#80C8B4
10,XC_0359 211..219,#D45386
13,XC_0359 29..39,#A6AF6F
2,XC_0359 4..12,#847BC8
16,XC_0360 145..153,#8E6299
21,XC_0361 16..24,#42593E
4,XC_0361 237..247,#874DBB
4,XC_0362 155..163,#874DBB
11,XC_0362 25..33,#DA7B61
10,XC_0362 40..48,#D45386
11,XC_0362 52..60,#DA7B61
12,XC_0362 70..82,#CCA64E
9,XC_0363 1..9,#C15A92
23,XC_0363 126..134,#482D42
22,XC_0363 148..156,#3A3E3E
22,XC_0363 34..42,#3A3E3E
21,XC_0363 82..92,#42593E
13,XC_0364 73..81,#A6AF6F
22,XC_0366 125..133,#3A3E3E
19,XC_0369 81..89,#9A5F2B
21,XC_0371 122..132,#42593E
16,XC_0371 206..220,#8E6299
1,XC_0372 4..12,#80C8B4
7,XC_0373 170..180,#93CB5D
3,XC_0373 99..107,#8749CE
20,XC_0374 29..39,#666637
2,XC_0374 95..103,#847BC8
12,XC_0375 185..195,#CCA64E
1,XC_0375 33..41,#80C8B4
14,XC_0376 208..216,#7E9AA5
23,XC_0376 54..64,#482D42
12,XC_0377 56..64,#CCA64E
21,XC_0377 70..78,#42593E
23,XC_0378 140..148,#482D42
1,XC_0378 240..250,#80C8B4
21,XC_0380 3..13,#42593E
22,XC_0381 155..163,#3A3E3E
19,XC_0382 103..111,#9A5F2B
24,XC_0382 52..60,#693C57
3,XC_0383 2..12,#8749CE
7,XC_0384 223..233,#93CB5D
4,XC_0385 189..199,#874DBB
3,XC_0386 152..162,#8749CE
16,XC_0389 21..37,#8E6299
17,XC_0390 52..64,#B5545B
2,XC_0392 130..140,#847BC8
12,XC_0392 89..97,#CCA64E
14,XC_0394 51..59,#7E9AA5
23,XC_0394 91..101,#482D42
20,XC_0395 229..239,#666637
16,XC_0396 200..208,#8E6299
20,XC_0397 189..199,#666637
8,XC_0398 132..140,#A89479
23,XC_0398 240..248,#482D42
13,XC_0400 63..73,#A6AF6F
8,XC_0402 140..148,#A89479
16,XC_0403 121..129,#8E6299
14,XC_0403 49..57,#7E9AA5
1,XC_0406 128..138,#80C8B4
4,XC_0406 179..187,#874DBB
24,XC_0408 120..132,#693C57
3,XC_0408 58..66,#8749CE
9,XC_0410 163..171,#C15A92
19,XC_0413 10..18,#9A5F2B
6,XC_0413 214..222,#87C564
2,XC_0413 220..228,#847BC8
19,XC_0414 77..85,#9A5F2B
21,XC_0417 134..144,#42593E
1,XC_0417 182..190,#80C8B4
4,XC_0417 2..10,#874DBB
7,XC_0418 118..128,#93CB5D
22,XC_0418 72..80,#3A3E3E
3,XC_0419 48..58,#8749CE
10,XC_0419 67..77,#D45386
21,XC_0422 103..111,#42593E
15,XC_0422 56..66,#717CBD
21,XC_0422 98..106,#42593E
23,XC_0423 47..55,#482D42
7,XC_0424 146..156,#93CB5D
21,XC_0425 218..226,#42593E
24,XC_0425 33..41,#693C57
3,XC_0425 59..69,#8749CE
20,XC_0426 107..115,#666637
7,XC_0429 172..180,#93CB5D
21,XC_0430 20..28,#42593E
18,XC_0434 133..151,#BD5430
9,XC_0434 138..146,#C15A92
7,XC_0437 220..228,#93CB5D
21,XC_0437 222..230,#42593E
9,XC_0441 122..130,#C15A92
2,XC_0441 141..151,#847BC8
7,XC_0441 182..190,#93CB5D
8,XC_0441 216..224,#A89479
22,XC_0442 218..226,#3A3E3E
7,XC_0443 111..119,#93CB5D
7,XC_0444 119..129,#93CB5D
11,XC_0444 134..142,#DA7B61
1,XC_0445 17..25,#80C8B4
16,XC_0445 209..217,#8E6299
24,XC_0445 243..251,#693C57
19,XC_0445 47..57,#9A5F2B
5,XC_0446 124..142,#85888E
5,XC_0446 124..156,#85888E
23,XC_0446 129..137,#482D42
5,XC_0446 129..151,#85888E
5,XC_0446 132..162,#85888E
23,XC_0446 134..146,#482D42
5,XC_0446 137..157,#85888E
23,XC_0446 142..152,#482D42
16,XC_0446 146..162,#8E6299
19,XC_0447 81..91,#9A5F2B
3,XC_0448 10..20,#8749CE
2,XC_0448 231..239,#847BC8
19,XC_0449 174..182,#9A5F2B
5,XC_0449 225..233,#85888E
11,XC_0450 102..110,#DA7B61
9,XC_0450 153..161,#C15A92
13,XC_0450 38..46,#A6AF6F
19,XC_0451 178..186,#9A5F2B
2,XC_0451 223..233,#847BC8
16,XC_0452 181..191,#8E6299
23,XC_0453 198..206,#482D42
10,XC_0453 74..84,#D45386
10,XC_0454 168..176,#D45386
24,XC_0455 195..203,#693C57
8,XC_0457 231..239,#A89479
21,XC_0459 23..31,#42593E
7,XC_0459 25..33,#93CB5D
14,XC_0465 89..97,#7E9AA5
2,XC_0466 126..134,#847BC8
1,XC_0466 28..36,#80C8B4
10,XC_0467 156..164,#D45386
21,XC_0467 161..169,#42593E
2,XC_0467 214..224,#847BC8
3,XC_0468 201..211,#8749CE
20,XC_0468 4..12,#666637
22,XC_0468 9..17,#3A3E3E
25,XC_0472 230..238,#96677C
8,XC_0473 180..188,#A89479
14,XC_0473 203..211,#7E9AA5
22,XC_0473 216..226,#3A3E3E
20,XC_0474 146..156,#666637
16,XC_0475 35..47,#8E6299
3,XC_0476 137..151,#8749CE
6,XC_0476 184..194,#87C564
19,XC_0476 2..10,#9A5F2B
2,XC_0478 16..24,#847BC8
23,XC_0478 175..185,#482D42
25,XC_0480 75..83,#96677C
23,XC_0482 176..184,#482D42
20,XC_0482 198..206,#666637
11,XC_0483 226..234,#DA7B61
4,XC_0484 236..244,#874DBB
1,XC_0486 97..105,#80C8B4
11,XC_0488 215..223,#DA7B61
2,XC_0488 236..246,#847BC8
20,XC_0489 179..187,#666637
23,XC_0490 13..21,#482D42
21,XC_0490 132..140,#42593E
2,XC_0490 46..54,#847BC8
2,XC_0490 50..58,#847BC8
23,XC_0492 84..94,#482D42
21,XC_0494 222..230,#42593E
23,XC_0495 26..34,#482D42
15,XC_0495 31..41,#717CBD
2,XC_0496 105..117,#847BC8
3,XC_0496 182..190,#8749CE
22,XC_0496 25..33,#3A3E3E
22,XC_0497 201..211,#3A3E3E
7,XC_0497 204..212,#93CB5D
7,XC_0497 60..70,#93CB5D
22,XC_0498 183..193,#3A3E3E
21,XC_0498 41..49,#42593E
7,XC_0498 42..52,#93CB5D
13,XC_0499 122..130,#A6AF6F
10,XC_0499 179..187,#D45386
17,XC_0499 226..236,#B5545B
11,XC_0499 37..45,#DA7B61
21,XC_0499 81..89,#42593E
1,XC_0500 105..113,#80C8B4
2,XC_0500 23..33,#847BC8
2,XC_0501 195..203,#847BC8
20,XC_0502 165..173,#666637
3,XC_0503 154..162,#8749CE
3,XC_0504 54..62,#8749CE
24,XC_0504 88..96,#693C57
9,XC_0507 23..33,#C15A92
20,XC_0508 178..188,#666637
23,XC_0508 54..62,#482D42
9,XC_0509 71..81,#C15A92
9,XC_0510 135..145,#C15A92
20,XC_0512 1..11,#666637
20,XC_0514 144..156,#666637
2,XC_0516 183..191,#847BC8
2,XC_0516 204..212,#847BC8
13,XC_0516 207..215,#A6AF6F
10,XC_0516 234..242,#D45386
21,XC_0516 32..40,#42593E
7,XC_0518 74..84,#93CB5D
13,XC_0519 138..146,#A6AF6F
8,XC_0519 66..76,#A89479
11,XC_0520 118..126,#DA7B61
16,XC_0520 155..163,#8E6299
25,XC_0521 64..72,#96677C
10,XC_0522 20..28,#D45386
22,XC_0522 222..230,#3A3E3E
2,XC_0522 56..64,#847BC8
20,XC_0522 65..73,#666637
1,XC_0523 163..171,#80C8B4
4,XC_0528 186..194,#874DBB
21,XC_0529 101..113,#42593E
16,XC_0529 188..196,#8E6299
25,XC_0530 223..233,#96677C
14,XC_0531 163..171,#7E9AA5
22,XC_0532 112..122,#3A3E3E
13,XC_0532 200..208,#A6AF6F
4,XC_0532 78..86,#874DBB
1,XC_0532 81..91,#80C8B4
22,XC_0532 99..109,#3A3E3E
23,XC_0533 129..137,#482D42
10,XC_0533 163..171,#D45386
19,XC_0534 196..206,#9A5F2B
8,XC_0535 183..191,#A89479
11,XC_0536 139..147,#DA7B61
16,XC_0536 148..156,#8E6299
7,XC_0536 43..51,#93CB5D
21,XC_0536 45..53,#42593E
24,XC_0537 183..191,#693C57
24,XC_0538 163..171,#693C57
6,XC_0538 88..96,#87C564
20,XC_0540 126..136,#666637
2,XC_0540 77..85,#847BC8
23,XC_0542 95..103,#482D42
12,XC_0543 218..226,#CCA64E
3,XC_0544 234..244,#8749CE
4,XC_0545 121..131,#874DBB
21,XC_0545 29..39,#42593E
4,XC_0546 41..51,#874DBB
19,XC_0548 121..131,#9A5F2B
19,XC_0548 165..175,#9A5F2B
14,XC_0548 6..14,#7E9AA5
6,XC_0549 144..152,#87C564
6,XC_0549 147..155,#87C564
15,XC_0549 222..232,#717CBD
8,XC_0549 3..11,#A89479
22,XC_0550 152..160,#3A3E3E
10,XC_0550 209..217,#D45386
14,XC_0550 45..53,#7E9AA5
